t_ms,vazao_Lmin,fase
150600,16.6667,DEGRAU
150800,16.6667,DEGRAU
151000,16.0,DEGRAU
151200,14.6667,DEGRAU
151400,16.6667,DEGRAU
151600,18.6667,DEGRAU
151800,18.0,DEGRAU
152000,16.0,DEGRAU
152200,16.0,DEGRAU
152400,18.6667,DEGRAU
152600,16.6667,DEGRAU
152800,16.0,DEGRAU
153000,18.6667,DEGRAU
153200,15.3333,DEGRAU
153400,12.6667,DEGRAU
153600,14.6667,DEGRAU
153800,18.0,DEGRAU
154000,15.3333,DEGRAU
154200,18.0,DEGRAU
154400,17.3333,DEGRAU
154600,16.0,DEGRAU
154800,17.3333,DEGRAU
155000,15.3333,DEGRAU
155200,16.6667,DEGRAU
155400,16.6667,DEGRAU
155600,16.6667,DEGRAU
155800,16.6667,DEGRAU
156000,18.6667,DEGRAU
156200,15.3333,DEGRAU
156400,19.3333,DEGRAU
156600,14.6667,DEGRAU
156800,15.3333,DEGRAU
157000,17.3333,DEGRAU
157200,16.0,DEGRAU
157400,18.0,DEGRAU
157600,20.0,DEGRAU
157800,16.6667,DEGRAU
158000,15.3333,DEGRAU
158200,17.3333,DEGRAU
158400,16.0,DEGRAU
158600,16.6667,DEGRAU
158800,14.6667,DEGRAU
159000,17.3333,DEGRAU
159200,15.3333,DEGRAU
159400,16.0,DEGRAU
159600,15.3333,DEGRAU
159800,14.6667,DEGRAU
160000,17.3333,DEGRAU
160200,16.0,DEGRAU
160400,15.3333,DEGRAU
160600,16.0,DEGRAU
160800,17.3333,DEGRAU
161000,18.0,DEGRAU
161200,16.0,DEGRAU
161400,13.3333,DEGRAU
161600,16.0,DEGRAU
161800,16.0,DEGRAU
162000,16.0,DEGRAU
162200,16.6667,DEGRAU
162400,16.0,DEGRAU
162600,18.0,DEGRAU
162800,14.6667,DEGRAU
163000,17.3333,DEGRAU
163200,13.3333,DEGRAU
163400,17.3333,DEGRAU
163600,16.0,DEGRAU
163800,16.0,DEGRAU
164000,16.6667,DEGRAU
164200,14.6667,DEGRAU
164400,18.0,DEGRAU
164600,15.3333,DEGRAU
164800,19.3333,DEGRAU
165000,14.0,DEGRAU
165200,14.6667,DEGRAU
165400,16.6667,DEGRAU
165600,18.0,DEGRAU
165800,17.3333,DEGRAU
166000,18.0,DEGRAU
166200,18.0,DEGRAU
166400,15.3333,DEGRAU
166600,14.6667,DEGRAU
166800,16.6667,DEGRAU
167000,16.0,DEGRAU
167200,16.0,DEGRAU
167400,14.6667,DEGRAU
167600,16.6667,DEGRAU
167800,16.0,DEGRAU
168000,15.3333,DEGRAU
168200,17.3333,DEGRAU
168400,17.3333,DEGRAU
168600,16.6667,DEGRAU
168800,16.6667,DEGRAU
169000,17.3333,DEGRAU
169200,16.0,DEGRAU
169400,17.3333,DEGRAU
169600,16.6667,DEGRAU
169800,15.3333,DEGRAU
170000,15.3333,DEGRAU
170200,16.0,DEGRAU
170400,18.6667,DEGRAU
170600,19.3333,DEGRAU
170800,14.0,DEGRAU
171000,16.0,DEGRAU
171200,18.0,DEGRAU
171400,17.3333,DEGRAU
171600,16.6667,DEGRAU
171800,16.6667,DEGRAU
172000,17.3333,DEGRAU
172200,16.0,DEGRAU
172400,18.6667,DEGRAU
172600,18.0,DEGRAU
172800,18.0,DEGRAU
173000,17.3333,DEGRAU
173200,16.6667,DEGRAU
173400,17.3333,DEGRAU
173600,16.6667,DEGRAU
173800,17.3333,DEGRAU
174000,14.6667,DEGRAU
174200,18.0,DEGRAU
174400,16.0,DEGRAU
174600,17.3333,DEGRAU
174800,15.3333,DEGRAU
175000,16.6667,DEGRAU
175200,17.3333,DEGRAU
175400,16.0,DEGRAU
175600,14.0,DEGRAU
175800,16.0,DEGRAU
176000,15.3333,DEGRAU
176200,17.3333,DEGRAU
176400,16.0,DEGRAU
176600,18.6667,DEGRAU
176800,15.3333,DEGRAU
177000,18.6667,DEGRAU
177200,16.0,DEGRAU
177400,15.3333,DEGRAU
177600,15.3333,DEGRAU
177800,15.3333,DEGRAU
178000,16.6667,DEGRAU
178200,16.0,DEGRAU
178400,16.0,DEGRAU
178600,16.0,DEGRAU
178800,17.3333,DEGRAU
179000,16.0,DEGRAU
179200,19.3333,DEGRAU
179400,15.3333,DEGRAU
179600,16.6667,DEGRAU
179800,15.3333,DEGRAU
180000,16.6667,DEGRAU
180200,16.0,DEGRAU
180400,17.3333,DEGRAU
180600,16.6667,DEGRAU
180800,16.0,DEGRAU
181000,18.0,DEGRAU
181200,15.3333,DEGRAU
181400,16.6667,DEGRAU
181600,16.6667,DEGRAU
181800,15.3333,DEGRAU
182000,14.6667,DEGRAU
182200,14.0,DEGRAU
182400,16.6667,DEGRAU
182600,16.0,DEGRAU
182800,12.6667,DEGRAU
183000,17.3333,DEGRAU
183200,17.3333,DEGRAU
183400,18.6667,DEGRAU
183600,17.3333,DEGRAU
183800,15.3333,DEGRAU
184000,16.6667,DEGRAU
184200,14.6667,DEGRAU
184400,16.6667,DEGRAU
184600,15.3333,DEGRAU
184800,17.3333,DEGRAU
185000,16.6667,DEGRAU
185200,16.6667,DEGRAU
185400,17.3333,DEGRAU
185600,16.6667,DEGRAU
185800,16.6667,DEGRAU
186000,16.0,DEGRAU
186200,16.6667,DEGRAU
186400,15.3333,DEGRAU
186600,16.6667,DEGRAU
186800,19.3333,DEGRAU
187000,16.0,DEGRAU
187200,17.3333,DEGRAU
187400,16.0,DEGRAU
187600,17.3333,DEGRAU
187800,14.6667,DEGRAU
188000,18.0,DEGRAU
188200,18.6667,DEGRAU
188400,16.6667,DEGRAU
188600,18.0,DEGRAU
188800,16.0,DEGRAU
189000,16.6667,DEGRAU
189200,16.0,DEGRAU
189400,15.3333,DEGRAU
189600,14.6667,DEGRAU
189800,16.6667,DEGRAU
190000,16.0,DEGRAU
190200,16.0,DEGRAU
190400,16.6667,DEGRAU
190600,16.6667,DEGRAU
190800,17.3333,DEGRAU
191000,16.0,DEGRAU
191200,16.0,DEGRAU
191400,16.0,DEGRAU
